,Commenter_Name,DateTime,Comment
87,Marcos Romero,2022-10-12 15:53:11,ফাও লাফালাফি করলে লাভ কি বিএনপিকে মানুষ কি দেখে ভোট দিবে তাদের অর্জন কি আমরা যখন স্কুলে পড়তাম আমাদের বাসায় বিদ্যুতের লাইনই ছিলো না বাজারে ও স্কুলে বিদ্যুতের লাইন ছিলো তা দিনে ১৬ ঘন্টা থাকতো না হাটু সমান কাঁদার রাস্তা হেটে স্কুলে যাওয়া লাগতো বাসা থেকে থানায় যাওয়ার জন্য পাকা রাস্তা ছিলো না হাস্পাতালে সিট ছিলো না ব্রিজগুলো ছিলো নড়বড়ে ঈদের পর ঈদ গেছে মা বাপ ছেলে মেয়েদের নতুন জামা কিনে দিতে পারতো না পদ্মা সেতু করা যাবে না তারা সরাসরি বলেই দিছে ১৫ বছর আগের স্মৃতি ভুলে গেছে বাঙালী সে সময়ে কি পরিমান চুরি ডাকাতি হতো আমাদের বাপ চাচারা রাতের বেলা দল বেধে পাহাড়া দিতো বর্তমানে গ্যাস বিদ্যুৎ সমস্যা বিশ্বব্যাপী আমেরিকা ইউরোপ অস্ট্রেলিয়া জার্মানির মতো দেশ গ্যাস বিদ্যুৎ পাচ্ছে না সেখানে বাংলাদেশ তো বাছুর এক সাথে সকল মোয়া পাওয়া যায় না আগে মানুষের চাহিদা ছিলো ভাত ডালের মধ্যে এখন মানুষের চাহিদা বাড়ি গাড়ি বিলাশিতা এখন আপনি চাইলেই ৫০০ ১০০০ টাকা পেয়ে যান বাপ মায়ের কাছে আমরা স্কুলে যাওয়ার সময় ২ টাকা চাইলে বাপ মায়ের দেওয়ার সামর্থ্য ছিল না এখন বলবেন টাকার মান এখন কমে গেছে আরেহ ভাই টাকাইতো ছিলো না আপনার কাছে তখন
88,It's me,2022-10-12 17:22:39,
89,It's me,2022-10-12 17:22:48,
90,It's me,2022-10-12 17:22:55,
91,It's me,2022-10-12 17:24:17,
92,Sara Alamgir,2022-10-12 17:30:35,বড় জোর ১০ হাজার মানুষ হবে
93,Red Rose,2022-10-12 17:55:35,সময় টিভি আবার বিএনপির খবরও প্রচার করে
94,Eyamin Hossen Mollah,2022-10-12 21:02:04,টিভি চ্যানেল গুলোর শুভ বুদ্ধির উদয় হইতে যাচ্ছে টের পাওয়া পাওয়া ভাব ভালোই
95,Eyamin Hossen Mollah,2022-10-12 21:11:51,খুব কম সংখ্যক সরকার দলের কমেন্ট লক্ষ করা যাচ্ছ একটা প্রশ্ন সরকার দলের চামচা গুলো বাজারে আসেনা ওদের জন্য কি কেজিত ২০টাকা কম নেয়
96,জনতার মৈত্রী শক্তি,2022-10-12 23:34:20,আলহামদুলিল্লাহ
97,md sohel,2022-10-13 08:40:51,
98,Muhammad Ashraful Islam,2022-10-14 04:03:09,ভূয়া রিপোর্ট মূল পয়েন্টটিই তিনি বলেন নি সেটি হলো যে সময় তিনি মাঠের উপস্থিতি দেখাচ্ছেন সেটি কয়টার সময় লাখো মানুষের হবে না কয়েক লাখের হবে সে তথ্য তিনি পেলেন কোথায় সমাবেশ শুরুর কয়েক ঘন্টা আগে মাঠের কোন কোন অংশ ফাঁকা থাকবে সেটাই স্বাভাবিক সে ফাঁকা অংশ দেখিয়ে মানুষের উপস্থিতি কম প্রমানের চেষ্টা প্রকারান্তরে কোন একটি দলের দালালির নামান্তর
99,jbm rana,2022-10-15 09:42:14,আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও আওয়ামীলীগ হটাও মাতৃভূমি বাচাও
100,faysal abrar,2022-10-11 16:10:55,বিএনপি নাস্তিক অপশক্তির বিনাষ করতে আররা মুসলিম উম্মাহ মাঠে আছি নাসির ভাই একাই আল্লাহর রহমতে যথেষ্ঠ আল্লাহু আকবার
101,Mahmudul hasan Rajib,2022-10-11 16:11:38,আমরা আপনাদের সাথে আছি
102,24- SR-Gulshan- Sirazul,2022-10-11 16:11:42,আওয়ামী লীগদের বলছি পুলিশ ছাড়া আসো কালকে দেখি কেমন পারো
103,Md.biplob mahmud,2022-10-11 16:12:17,বিএনপির এবার জয় হবার সম্ভাবনা সবচেয়ে বেশি দেখা যাইতেছে
104,Shakib Khan,2022-10-11 16:14:15,জয় হবে এবার বিএনপির ইনশাআল্লাহ
105,Md.biplob mahmud,2022-10-11 16:14:28,মানুষেরর হ্মমতা চিরস্থায়ী নয় আর যুগে যুগে সকল যুলুম কারি সরকারের পতন আল্লাহ্ করেছে
106,Obydul Miah,2022-10-11 16:15:07,দাত নাছি রের পিচন দিয়ে দেওয়া উচিত
107,Md.biplob mahmud,2022-10-11 16:15:24,দেশের সার্থে পুলিশ ও সাংবাদিক ভাইদের এখনি জনগনের পাশে থাকার সুযোগ
108,Ahmed Faisal,2022-10-11 16:15:32,জ্বালা বেরে গেছে আওয়ামী দের
109,Mohammed Anwaruddin,2022-10-11 16:16:31,
110,Scorpio,2022-10-11 16:19:10,চট্টগ্রামে বি এন পির নেতৃত্বে আছে হিজরা তার মধ্যে আমীর খসরু একজন
111,Mohasln Mohasln,2022-10-11 16:23:04,জবাব দিবে ভালো কথা তোমাদেরকে কে ওনুমতি দিয়েছে প্রতিহত করার তাহলে পুলিশ কে কোনো এতো টাকা বেতন দেয় পুলিশ তো দরকার নাই তাহলে তোমরা জদি বাল হালাইতে পার
112,Visionery Platform,2022-10-11 16:24:32,বিএনপিকে রুখে দিবে আওয়ামীলীগ
113,Village work,2022-10-11 16:25:03,জনস্রোতে ভেষে যাবে উঠে দাড়ানোর ক্ষমতা থাকবেনা আওয়ামিলীগের
114,Cucuf Cjcjc,2022-10-11 16:28:36,আচ্ছা আমার প্রশ্ন সাংবাদিক বোনের কাছে সমাবেশ করবে বিএনপি ঝগরা তো করতে যাচ্ছে গায়ে পড়ে আওয়ামীলীগ মিথ্যা নাটক সাজানোর জন্য এইখানে বিএনপি গায়ে পড়ে ঝগড়া করতে যাবে কেন এই কথার তো কোন যুক্তি দেখছি না এই কথা গুলোর মধ্যেই আওয়ামীলীগ এর ষড়যন্ত্রের গন্ধ পাচ্ছি
115,Kamrul Kamarum,2022-10-11 16:38:16,পুলিশ ছাড়া তো আওয়ামী লীগ বেকার
116,MD:Bashir Uddin,2022-10-11 16:41:59,সাধারণ মানুষ বাদ দিয়ে বলেন পুলিশ সাথে নিয়ে মোকাবিলা করবো
117,md abul,2022-10-11 16:42:12,ডায়লগ একটা পাইছে আগুন সন্তারাস
118,sumon mhamud,2022-10-11 16:44:45,পুলিশ ছাড়া বিএনপি কে কিছুই করতে পারবে বলে আমার মনে হয় না
119,GALIBA'S SWEET DREAM,2022-10-11 16:48:17,ভাতিজা তোমার নিজের দাত খুলে যত্ন করে রাখ সামনে যেদিন আসতেছে দাত তো পরের কথা শরীরের মধ্যে মুখইতো খুজে পাবে না
120,Moslem Uddin,2022-10-11 16:49:36,ক্ষমতাশীনরা তোমাদের ক্ষমতা চিরস্থায়ী নয় তাই বুঝে শুনে কাজ করবা
121,আল্লাহ সর্ব শক্তিমান,2022-10-11 16:49:37,ছাত্রলীগ প্রস্তুত
122,NEW MOVIE HQ,2022-10-11 16:49:47,গায়ে পড়ে সমস্যা কে করে সেটা জনগণ ভালো করে দেখতে পাচ্ছেন
123,Noman Mia,2022-10-11 16:57:49,বিএনপির শান্তিপূর্ণ কর্মসূচিতে যে বাধা দিবে সে জারক সন্তান
124,Attractive YouTube,2022-10-11 16:58:56,আওমীলিগ মাফিয়া
125,Ujyi Gydjd,2022-10-11 16:59:54,
